Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Salary
Boban Marjanović,C,33,DAL,13,0,81,29,45,.644,1,2,.500,28,43,.651,.656,6,13,.462,6,20,26,2,0,2,8,16,65,22.9,.641,.044,.289,7.6,27.9,17.3,5.6,0.0,2.2,13.6,32.3,0.0,0.1,0.1,0.2,.089,0.0,-0.1,-1.4,-1.5,0.0,3500000.0
Lauri Markkanen,PF,24,CLE,17,17,537,87,210,.414,40,118,.339,47,92,.511,.510,33,38,.868,21,78,99,20,13,9,12,24,247,14.5,.545,.562,.181,4.4,15.5,10.1,5.8,1.2,1.5,5.0,19.5,0.0,0.7,0.7,1.4,.126,0.0,0.6,-0.2,0.4,0.3,15690909.0
Naji Marshall,SF,24,NOP,18,0,206,19,59,.322,3,23,.130,16,36,.444,.347,25,29,.862,13,40,53,20,8,3,18,20,66,9.7,.460,.390,.492,6.6,21.8,14.0,13.8,1.9,1.4,20.1,18.6,0.0,-0.2,0.2,0.0,-0.003,0.0,-5.2,-0.6,-5.8,-0.2,1517981.0
Cody Martin,SF,26,CHO,25,2,659,79,162,.488,27,54,.500,52,108,.481,.571,29,40,.725,33,75,108,60,34,12,15,43,214,15.2,.596,.333,.247,5.1,12.6,8.7,12.0,2.5,1.7,7.7,12.5,0.0,1.4,0.4,1.7,.126,0.0,0.8,0.4,1.2,0.6,1782621.0
Kelan Martin,SF,26,IND,20,1,337,57,134,.425,16,56,.286,41,78,.526,.485,7,11,.636,12,25,37,19,11,7,13,27,137,10.9,.493,.418,.082,4.0,8.0,6.0,8.4,1.6,1.8,8.6,19.6,0.0,0.0,0.3,0.3,.039,0.0,-2.0,-1.3,-3.3,-0.1,1701593.0
Kenyon Martin Jr.,SF,21,HOU,23,0,362,66,121,.545,9,33,.273,57,88,.648,.583,17,27,.630,15,55,70,22,9,11,10,25,158,16.1,.595,.273,.223,4.5,16.0,10.3,10.0,1.2,2.8,7.0,16.7,0.0,0.6,0.3,1.0,.128,0.0,0.4,-0.2,0.2,0.2,1517981.0
Wesley Matthews,SG,35,MIL,3,0,38,3,8,.375,2,6,.333,1,2,.500,.500,0,2,.000,1,2,3,1,2,1,2,4,8,4.5,.450,.750,.250,2.8,5.3,4.1,3.5,2.5,2.6,18.4,12.2,0.0,-0.1,0.0,0.0,-0.007,0.0,-5.2,1.9,-3.3,0.0,1958501.0
Tyrese Maxey,PG,21,PHI,24,24,841,150,323,.464,27,75,.360,123,248,.496,.506,75,84,.893,9,81,90,115,17,14,30,58,402,16.6,.558,.232,.260,1.2,10.6,5.9,21.6,1.0,1.5,7.7,21.0,0.0,1.7,0.5,2.2,.124,0.0,1.1,-1.1,0.0,0.4,2602920.0
Miles McBride,PG,21,NYK,7,0,12,2,11,.182,0,6,.000,2,5,.400,.182,2,2,1.000,1,1,2,2,2,1,0,1,6,11.4,.253,.545,.182,8.8,8.9,8.9,26.4,8.3,7.8,0.0,43.4,0.0,-0.1,0.0,0.0,-0.193,0.0,-7.7,2.8,-5.0,0.0,925258.0
CJ McCollum,SG,30,POR,24,24,848,191,451,.424,77,196,.393,114,255,.447,.509,35,50,.700,27,72,99,107,26,17,46,51,494,16.7,.522,.435,.111,3.5,9.5,6.4,20.9,1.5,1.9,8.9,26.6,0.0,0.9,0.3,1.2,.066,0.0,2.4,-2.2,0.2,0.5,30864198.0
T.J. McConnell,PG,29,IND,24,6,581,91,181,.503,7,25,.280,84,156,.538,.522,12,15,.800,19,61,80,115,25,9,28,43,201,16.1,.536,.138,.083,3.7,11.3,7.6,28.8,2.1,1.3,13.0,16.2,0.0,1.0,0.6,1.6,.133,0.0,0.1,1.1,1.2,0.5,7500000.0
Jaden McDaniels,PF,21,MIN,22,11,551,55,142,.387,16,63,.254,39,79,.494,.444,7,11,.636,34,62,96,18,22,13,21,80,133,7.0,.453,.444,.077,6.1,12.4,9.1,4.6,1.9,2.3,12.5,12.7,0.0,-0.2,0.6,0.4,.032,0.0,-5.4,-0.3,-5.8,-0.5,2063280.0
Jalen McDaniels,SF,24,CHO,22,0,331,42,80,.525,20,44,.455,22,36,.611,.650,16,25,.640,13,59,72,21,8,8,13,37,120,13.8,.659,.550,.313,4.0,19.7,11.6,8.5,1.2,2.3,12.5,13.3,0.0,0.6,0.2,0.8,.110,0.0,-0.3,-0.8,-1.2,0.1,1782621.0
Doug McDermott,PF,30,SAS,16,16,405,69,147,.469,35,80,.438,34,67,.507,.588,8,11,.727,8,29,37,23,3,1,10,21,181,12.2,.596,.544,.075,2.1,7.6,4.8,7.9,0.4,0.2,6.2,17.1,0.0,0.6,0.1,0.7,.082,0.0,0.3,-2.8,-2.5,0.0,13750000.0
JaVale McGee,C,34,PHO,24,6,372,104,156,.667,0,0,0.0,104,156,.667,.667,33,51,.647,57,110,167,13,8,20,39,58,241,25.1,.675,.000,.327,16.6,30.2,23.6,5.8,1.0,4.7,17.9,25.3,0.0,0.9,0.8,1.7,.219,0.0,0.5,-0.2,0.3,0.2,5000000.0
Rodney McGruder,SG,30,DET,9,0,48,5,14,.357,2,8,.250,3,6,.500,.429,2,2,1.000,2,4,6,3,0,1,1,1,14,8.8,.470,.571,.143,4.2,9.8,6.8,9.8,0.0,1.9,6.3,14.3,0.0,0.0,0.0,0.0,.024,0.0,-2.4,-2.2,-4.6,0.0,1939350.0
Jordan McLaughlin,PG,25,MIN,18,0,197,13,44,.295,4,20,.200,9,24,.375,.341,9,11,.818,3,14,17,38,11,0,12,7,39,8.6,.399,.455,.250,1.5,7.8,4.5,26.0,2.7,0.0,19.7,12.8,0.0,-0.1,0.2,0.1,.027,0.0,-4.5,-0.5,-4.9,-0.1,1669178.0
Ben McLemore,SG,28,POR,11,0,138,21,50,.420,16,43,.372,5,7,.714,.580,6,7,.857,3,8,11,8,3,0,6,10,64,12.4,.603,.860,.140,2.4,6.5,4.4,8.6,1.1,0.0,10.2,18.6,0.0,0.2,0.0,0.2,.069,0.0,1.2,-2.2,-1.0,0.0,2389641.0
De'Anthony Melton,SG,23,MEM,22,12,544,87,214,.407,41,114,.360,46,100,.460,.502,13,20,.650,20,72,92,54,35,14,36,36,228,13.8,.512,.533,.093,3.9,14.4,9.0,14.1,3.1,2.4,13.9,19.9,0.0,0.1,0.6,0.7,.057,0.0,-0.4,-0.1,-0.5,0.2,8437500.0
Sam Merrill,SG,25,MEM,6,0,58,8,24,.333,7,23,.304,1,1,1.000,.479,2,4,.500,1,6,7,4,0,0,2,3,25,8.1,.485,.958,.167,1.8,11.2,6.4,9.5,0.0,0.0,7.2,20.1,0.0,0.0,0.0,0.0,.007,0.0,-1.8,-5.4,-7.2,-0.1,1517981.0
Chimezie Metu,C,24,SAC,13,10,301,43,109,.394,15,56,.268,28,53,.528,.463,11,15,.733,14,73,87,14,11,12,14,15,112,12.9,.484,.514,.138,4.9,25.4,15.2,6.7,1.8,3.3,10.8,18.3,0.0,-0.1,0.4,0.3,.045,0.0,-1.1,-0.5,-1.5,0.0,1762796.0
Khris Middleton,SF,30,MIL,18,18,558,112,268,.418,37,108,.343,75,160,.469,.487,64,73,.877,10,86,96,91,21,3,56,36,325,16.5,.541,.403,.272,1.9,15.6,8.9,25.9,1.8,0.5,15.7,27.3,0.0,0.4,0.7,1.1,.097,0.0,0.6,-0.9,-0.3,0.2,35500000.0
Patty Mills,PG,33,BRK,25,11,718,110,244,.451,77,169,.456,33,75,.440,.609,16,18,.889,7,36,43,59,14,6,20,32,313,13.5,.621,.693,.074,1.1,5.1,3.2,12.2,0.9,0.7,7.4,16.7,0.0,1.3,0.5,1.7,.115,0.0,1.4,-1.5,-0.1,0.3,5890000.0
Paul Millsap,PF,36,BRK,20,0,227,27,72,.375,6,24,.250,21,48,.438,.417,12,17,.706,23,51,74,21,5,7,10,43,72,11.3,.453,.333,.236,11.2,22.8,17.2,13.0,1.1,2.8,11.2,17.3,0.0,0.1,0.3,0.4,.090,0.0,-3.6,0.2,-3.3,-0.1,2641691.0
Shake Milton,PG,25,PHI,20,5,507,90,193,.466,21,61,.344,69,132,.523,.521,30,34,.882,10,51,61,58,13,9,22,39,231,15.3,.555,.316,.176,2.2,11.0,6.6,18.0,1.3,1.6,9.6,20.5,0.0,0.7,0.3,1.0,.097,0.0,0.5,-0.8,-0.3,0.2,1846738.0
Davion Mitchell,PG,23,SAC,25,0,638,94,243,.387,28,99,.283,66,144,.458,.444,20,30,.667,17,49,66,85,19,5,26,58,236,10.2,.461,.407,.123,2.8,8.0,5.4,19.2,1.4,0.7,9.2,18.8,0.0,0.1,0.2,0.3,.022,0.0,-2.7,-1.4,-4.1,-0.3,4603320.0
Donovan Mitchell,SG,25,UTA,23,23,750,212,467,.454,73,214,.341,139,253,.549,.532,72,81,.889,21,74,95,115,38,5,70,57,569,22.3,.566,.458,.173,3.3,10.2,6.9,26.7,2.5,0.6,12.2,33.2,0.0,1.7,0.9,2.7,.171,0.0,3.6,-0.3,3.3,1.0,28103550.0
Evan Mobley,PF,20,CLE,22,22,743,122,256,.477,14,42,.333,108,214,.505,.504,51,65,.785,38,142,180,56,21,43,37,45,309,16.5,.543,.164,.254,5.7,20.4,13.2,11.7,1.4,5.1,11.5,19.0,0.0,0.7,1.4,2.1,.135,0.0,-0.4,1.6,1.2,0.6,8075160.0
Malik Monk,SG,23,LAL,25,2,606,97,208,.466,45,120,.375,52,88,.591,.575,19,23,.826,10,56,66,55,18,6,32,38,258,12.9,.591,.577,.111,1.8,9.6,5.8,13.1,1.4,0.9,12.8,17.6,0.0,0.6,0.4,1.1,.086,0.0,-0.4,-0.9,-1.2,0.1,1789256.0
Moses Moody,SG,19,GSW,16,0,93,11,28,.393,2,15,.133,9,13,.692,.429,1,2,.500,1,10,11,3,1,2,1,4,25,5.9,.433,.536,.071,1.2,11.2,6.4,4.4,0.5,2.1,3.3,13.8,0.0,-0.1,0.1,0.1,.044,0.0,-4.8,-1.5,-6.3,-0.1,3562080.0
Ja Morant,PG,22,MEM,19,19,619,170,357,.476,31,87,.356,139,270,.515,.520,87,112,.777,25,81,106,129,30,5,60,25,458,24.4,.564,.244,.314,4.2,14.2,9.1,35.4,2.4,0.7,12.9,31.6,0.0,1.6,0.4,2.0,.158,0.0,5.3,-1.8,3.5,0.9,9603360.0
Marcus Morris,PF,32,LAC,10,10,296,47,112,.420,22,58,.379,25,54,.463,.518,13,16,.813,2,35,37,21,5,4,15,26,129,10.6,.542,.518,.143,0.7,12.3,6.6,10.9,0.8,1.2,11.2,19.7,0.0,0.1,0.3,0.4,.063,0.0,-1.6,-0.6,-2.2,0.0,15627907.0
Markieff Morris,PF,32,MIA,10,0,187,32,70,.457,8,22,.364,24,48,.500,.514,5,5,1.000,13,15,28,14,3,1,12,22,77,10.8,.533,.314,.071,8.0,8.9,8.4,11.7,0.8,0.6,14.3,20.0,0.0,0.1,0.1,0.2,.054,0.0,-1.9,-0.4,-2.3,0.0,2641691.0
Monte Morris,PG,26,DEN,24,24,722,124,261,.475,32,95,.337,92,166,.554,.536,9,13,.692,6,59,65,102,20,3,30,37,289,13.5,.542,.364,.050,0.9,9.1,5.0,21.5,1.4,0.4,10.1,18.5,0.0,0.7,0.5,1.3,.084,0.0,-1.1,-0.8,-1.9,0.0,8333333.0
Trey Murphy III,SF,21,NOP,25,0,372,40,108,.370,31,79,.392,9,29,.310,.514,9,10,.900,18,42,60,14,8,4,10,32,120,9.6,.534,.731,.093,5.1,12.7,8.8,5.5,1.1,1.0,8.2,14.1,0.0,0.3,0.1,0.4,.050,0.0,-2.0,-2.1,-4.0,-0.2,3053760.0
Dejounte Murray,PG,25,SAS,23,23,800,182,407,.447,32,93,.344,150,314,.478,.486,37,53,.698,22,171,193,194,45,9,54,47,433,20.3,.503,.229,.130,2.9,22.7,12.7,36.7,2.7,1.0,11.1,25.9,0.0,0.8,1.2,2.1,.124,0.0,1.8,1.6,3.3,1.1,15428571.0
Mike Muscala,C,30,OKC,18,0,264,48,107,.449,31,73,.425,17,34,.500,.593,24,30,.800,7,50,57,10,7,10,7,23,151,19.7,.628,.682,.280,2.7,19.7,11.0,6.6,1.3,3.6,5.5,20.8,0.0,0.7,0.3,1.0,.175,0.0,3.6,0.1,3.7,0.4,3500000.0
Svi Mykhailiuk,SF,24,TOR,25,4,455,62,146,.425,27,83,.325,35,63,.556,.517,20,22,.909,16,48,64,27,20,2,19,33,171,12.5,.549,.568,.151,3.6,12.2,7.7,8.6,2.2,0.4,10.9,16.5,0.0,0.5,0.3,0.8,.087,0.0,-0.8,-0.7,-1.4,0.1,1729217.0
Abdel Nader,SF,28,PHO,14,0,145,12,35,.343,4,14,.286,8,21,.381,.400,6,10,.600,4,23,27,7,8,4,11,20,34,5.1,.431,.400,.286,3.0,16.2,9.8,6.1,2.6,2.4,21.8,15.0,0.0,-0.3,0.3,0.0,-0.005,0.0,-7.3,0.4,-6.9,-0.2,2000000.0
Larry Nance Jr.,PF,29,POR,26,0,529,65,125,.520,12,42,.286,53,83,.639,.568,18,29,.621,37,93,130,39,23,9,20,38,160,14.7,.581,.336,.232,7.6,19.7,13.5,10.5,2.1,1.6,12.7,13.0,0.0,0.8,0.4,1.2,.108,0.0,-0.1,0.2,0.1,0.3,10690909.0
Aaron Nesmith,SF,22,BOS,21,0,203,24,66,.364,12,45,.267,12,21,.571,.455,4,4,1.000,6,24,30,8,5,0,9,27,64,5.8,.472,.682,.061,3.1,12.8,7.9,5.8,1.2,0.0,11.7,16.6,0.0,-0.2,0.2,0.0,.003,0.0,-4.9,-0.9,-5.8,-0.2,3631200.0
Raul Neto,PG,29,WAS,25,0,495,76,163,.466,11,42,.262,65,121,.537,.500,28,39,.718,4,45,49,66,19,1,31,38,191,11.9,.530,.258,.239,0.9,9.5,5.4,20.3,1.9,0.2,14.7,19.1,0.0,0.1,0.4,0.5,.052,0.0,-3.1,-0.4,-3.6,-0.2,2089448.0
Georges Niang,PF,28,PHI,25,5,606,97,222,.437,52,134,.388,45,88,.511,.554,27,29,.931,6,58,64,41,16,8,19,64,273,13.4,.581,.604,.131,1.1,10.5,5.8,10.4,1.3,1.2,7.5,18.9,0.0,0.8,0.4,1.2,.095,0.0,0.6,-1.5,-0.9,0.2,3300000.0
Zeke Nnaji,PF,21,DEN,12,0,165,29,56,.518,17,28,.607,12,28,.429,.670,10,16,.625,13,27,40,2,1,4,5,18,85,18.3,.674,.500,.286,8.8,18.2,13.5,1.9,0.3,2.3,7.3,18.6,0.0,0.5,0.1,0.6,.173,0.0,2.7,-2.2,0.4,0.1,2498760.0
Nerlens Noel,C,27,NYK,11,4,261,16,31,.516,0,2,.000,16,29,.552,.516,12,13,.923,28,40,68,10,12,14,12,32,44,12.4,.599,.065,.419,11.4,16.5,13.9,5.2,2.3,5.0,24.6,8.2,0.0,0.3,0.3,0.6,.114,0.0,-2.6,0.7,-1.9,0.0,8800000.0
Jaylen Nowell,SG,22,MIN,11,0,64,12,33,.364,1,8,.125,11,25,.440,.379,2,2,1.000,3,7,10,9,3,3,1,3,27,14.3,.398,.242,.061,4.6,12.0,8.1,22.7,2.3,4.5,2.9,22.7,0.0,0.0,0.1,0.1,.055,0.0,-1.7,0.0,-1.7,0.0,1782621.0
Frank Ntilikina,PG,23,DAL,17,0,237,28,80,.350,15,44,.341,13,36,.361,.444,12,12,1.000,3,29,32,23,12,3,11,18,83,10.9,.487,.550,.150,1.3,13.8,7.3,14.2,2.5,1.1,11.4,18.1,0.0,0.0,0.3,0.2,.050,0.0,-2.7,0.4,-2.3,0.0,1789256.0
Jusuf Nurkić,C,27,POR,26,26,645,133,231,.576,5,21,.238,128,210,.610,.587,76,102,.745,65,202,267,61,28,14,52,79,347,23.1,.629,.091,.442,10.9,35.0,22.8,15.2,2.1,2.1,15.9,22.1,0.0,1.7,0.8,2.5,.184,0.0,1.8,0.8,2.6,0.8,12000000.0
David Nwaba,SF,29,HOU,16,0,181,23,53,.434,1,14,.071,22,39,.564,.443,14,22,.636,9,39,48,10,10,4,8,16,61,12.3,.487,.264,.415,5.4,22.6,14.1,8.3,2.6,2.1,11.3,16.5,0.0,0.0,0.3,0.3,.067,0.0,-3.5,0.4,-3.1,0.0,4650000.0
Jordan Nwora,SF,23,MIL,21,0,372,55,139,.396,26,72,.361,29,67,.433,.489,11,13,.846,11,57,68,24,5,9,25,21,147,9.7,.508,.518,.094,3.1,15.5,9.5,9.4,0.6,2.4,14.7,19.5,0.0,-0.2,0.4,0.2,.028,0.0,-2.0,-2.1,-4.1,-0.2,1517981.0
Royce O'Neale,SF,28,UTA,22,22,688,64,129,.496,36,89,.404,28,40,.700,.636,13,19,.684,23,89,112,54,35,16,27,51,177,12.8,.644,.690,.147,3.9,13.4,8.9,10.3,2.5,2.0,16.4,10.4,0.0,1.1,1.0,2.1,.144,0.0,0.2,2.6,2.8,0.8,8678571.0
Semi Ojeleye,PF,27,MIL,11,0,218,12,47,.255,6,28,.214,6,19,.316,.319,3,5,.600,21,19,40,4,4,5,5,17,33,4.6,.335,.596,.106,10.3,8.8,9.5,2.4,0.9,2.2,9.2,10.6,0.0,-0.2,0.2,0.0,.008,0.0,-4.8,-2.4,-7.2,-0.3,1789256.0
Chuma Okeke,PF,23,ORL,20,0,418,50,134,.373,14,62,.226,36,72,.500,.425,23,27,.852,13,67,80,24,14,6,16,25,137,9.6,.470,.463,.201,3.3,17.1,10.1,8.7,1.6,1.3,9.9,16.6,0.0,-0.2,0.3,0.1,.011,0.0,-3.0,-0.8,-3.8,-0.2,3277080.0
Josh Okogie,SG,23,MIN,17,5,255,16,47,.340,5,20,.250,11,27,.407,.394,10,20,.500,16,23,39,16,11,5,9,25,47,7.2,.421,.426,.426,6.2,9.9,8.0,8.4,2.1,1.9,13.9,10.6,0.0,0.0,0.2,0.2,.036,0.0,-4.6,0.1,-4.5,-0.2,4087904.0
Isaac Okoro,SF,21,CLE,19,15,545,51,138,.370,12,56,.214,39,82,.476,.413,27,37,.730,28,49,77,34,17,5,20,46,141,7.8,.457,.406,.268,5.7,9.6,7.7,8.7,1.5,0.8,11.5,14.0,0.0,0.0,0.6,0.6,.053,0.0,-3.7,0.0,-3.7,-0.2,6720720.0
KZ Okpala,PF,22,MIA,13,0,103,9,24,.375,3,12,.250,6,12,.500,.438,6,8,.750,5,17,22,6,2,3,1,9,27,10.9,.491,.500,.333,5.6,18.2,12.0,8.1,1.0,3.2,3.5,12.3,0.0,0.1,0.1,0.2,.113,0.0,-2.3,0.4,-1.9,0.0,1782621.0
Kelly Olynyk,C,30,DET,10,1,230,45,98,.459,14,41,.341,31,57,.544,.531,21,35,.600,13,40,53,23,14,7,15,27,125,18.9,.551,.418,.357,5.7,20.5,12.6,18.4,3.0,2.8,11.7,24.1,0.0,0.2,0.3,0.5,.113,0.0,0.9,1.6,2.5,0.3,12195122.0
Miye Oni,SG,24,UTA,11,0,33,1,5,.200,0,4,.000,1,1,1.000,.200,0,1,.000,0,4,4,4,0,0,1,5,2,-1.6,.184,.800,.200,0.0,12.5,6.6,14.7,0.0,0.0,15.5,8.5,0.0,-0.1,0.0,0.0,-0.055,0.0,-9.2,-1.0,-10.2,-0.1,1782621.0
Cedi Osman,SF,26,CLE,20,0,445,78,169,.462,48,116,.414,30,53,.566,.604,20,28,.714,6,49,55,34,20,7,19,33,224,16.6,.618,.686,.166,1.5,11.8,6.7,12.1,2.2,1.4,9.5,19.7,0.0,0.8,0.7,1.5,.157,0.0,2.6,1.3,3.9,0.7,8050000.0
Kelly Oubre Jr.,SF,26,CHO,27,8,779,168,365,.460,79,205,.385,89,160,.556,.568,37,57,.649,33,79,112,31,28,8,28,68,452,16.3,.579,.562,.156,4.4,11.2,7.7,6.0,1.7,1.0,6.7,22.7,0.0,1.2,0.2,1.4,.085,0.0,1.4,-2.3,-0.8,0.2,12000000.0
Kevin Pangos,PG,29,CLE,9,0,28,1,4,.250,1,2,.500,0,2,.000,.375,1,2,.500,1,0,1,6,1,0,4,4,4,1.7,.410,.500,.500,4.0,0.0,1.9,27.8,1.8,0.0,45.0,13.9,0.0,-0.1,0.0,0.0,-0.061,0.0,-5.4,-1.0,-6.3,0.0,1669178.0
Jabari Parker,PF,26,BOS,8,0,79,13,24,.542,5,9,.556,8,15,.533,.646,6,6,1.000,3,14,17,4,3,1,5,11,37,16.5,.694,.375,.250,4.0,19.2,11.6,8.0,1.9,1.2,15.8,17.6,0.0,0.2,0.1,0.3,.162,0.0,-0.4,0.9,0.6,0.1,2239544.0
Jabari Parker,PF,26,BOS,8,0,79,13,24,.542,5,9,.556,8,15,.533,.646,6,6,1.000,3,14,17,4,3,1,5,11,37,16.5,.694,.375,.250,4.0,19.2,11.6,8.0,1.9,1.2,15.8,17.6,0.0,0.2,0.1,0.3,.162,0.0,-0.4,0.9,0.6,0.1,2239544.0
Eric Paschall,PF,25,UTA,20,0,234,25,59,.424,11,38,.289,14,21,.667,.517,12,17,.706,13,26,39,14,2,3,11,16,73,9.9,.549,.644,.288,6.5,11.5,9.1,8.0,0.4,1.1,14.2,14.4,0.0,0.2,0.2,0.4,.085,0.0,-1.3,-1.0,-2.3,0.0,1782621.0
Chris Paul,PG,36,PHO,24,24,778,125,260,.481,25,73,.342,100,187,.535,.529,75,91,.824,6,89,95,243,48,7,58,48,350,21.2,.583,.281,.350,0.8,11.7,6.4,43.5,2.9,0.8,16.2,19.9,0.0,2.2,1.3,3.5,.218,0.0,2.7,1.5,4.1,1.2,30800000.0
Cameron Payne,PG,27,PHO,19,0,346,65,171,.380,21,66,.318,44,105,.419,.442,33,40,.825,7,47,54,56,11,6,32,33,184,12.8,.488,.386,.234,2.2,13.9,8.2,23.4,1.5,1.5,14.5,27.6,0.0,-0.2,0.5,0.3,.037,0.0,-2.0,-0.6,-2.6,-0.1,6500000.0
Elfrid Payton,PG,27,PHO,10,0,117,20,43,.465,0,1,.000,20,42,.476,.465,4,8,.500,6,17,23,22,5,0,8,9,44,13.5,.473,.023,.186,5.6,14.8,10.3,26.5,2.0,0.0,14.7,20.2,0.0,0.0,0.2,0.2,.080,0.0,-2.5,-0.5,-3.0,0.0,2239544.0
Gary Payton II,PG,29,GSW,24,1,351,64,96,.667,13,33,.394,51,63,.810,.734,19,29,.655,25,51,76,18,31,3,12,41,160,21.2,.736,.344,.302,8.1,15.1,11.8,7.7,4.3,0.8,9.9,14.8,0.0,1.1,0.9,2.0,.273,0.0,1.4,4.0,5.4,0.7,1939350.0
Mason Plumlee,C,31,CHO,20,20,523,59,99,.596,0,0,0.0,59,99,.596,.596,18,52,.346,51,94,145,55,17,20,24,60,136,14.2,.558,.000,.525,10.0,19.9,14.8,13.7,1.5,3.6,16.5,11.8,0.0,0.8,0.4,1.1,.103,0.0,-1.3,0.7,-0.6,0.2,8137500.0
Jakob Poeltl,C,26,SAS,16,15,467,93,151,.616,0,0,0.0,93,151,.616,.616,11,34,.324,67,82,149,38,8,26,23,46,197,19.8,.594,.000,.225,15.0,18.7,16.8,11.8,0.8,5.0,12.2,17.3,0.0,1.0,0.6,1.6,.161,0.0,0.3,-0.6,-0.2,0.2,8750000.0
Aleksej Pokusevski,PF,20,OKC,24,0,346,45,132,.341,11,57,.193,34,75,.453,.383,5,10,.500,24,74,98,28,11,11,28,27,106,7.8,.389,.432,.076,7.0,22.2,14.5,12.9,1.5,3.0,17.0,20.5,0.0,-0.9,0.4,-0.5,-0.067,0.0,-5.4,-1.1,-6.5,-0.4,3113160.0
Jordan Poole,SG,22,GSW,25,25,761,160,357,.448,69,200,.345,91,157,.580,.545,61,67,.910,8,72,80,87,28,6,61,72,450,15.1,.582,.560,.188,1.2,9.8,5.7,17.8,1.8,0.8,13.6,25.3,0.0,0.9,1.3,2.2,.136,0.0,-0.3,-0.4,-0.7,0.3,2161440.0
Kevin Porter Jr.,PG,21,HOU,19,19,574,83,232,.358,34,110,.309,49,122,.402,.431,44,70,.629,16,68,84,110,25,6,76,43,244,9.6,.464,.474,.302,3.0,12.4,7.8,29.7,2.1,1.0,22.4,25.0,0.0,-1.0,0.5,-0.5,-0.042,0.0,-3.5,-2.0,-5.4,-0.5,2130240.0
Michael Porter Jr.,SF,23,DEN,9,9,265,37,103,.359,10,48,.208,27,55,.491,.408,5,9,.556,9,50,59,17,10,2,12,16,89,8.3,.416,.466,.087,3.8,21.0,12.4,9.3,1.9,0.7,10.1,20.2,0.0,-0.5,0.3,-0.1,-0.024,0.0,-4.3,-1.0,-5.3,-0.2,5258735.0
Otto Porter,PF,28,GSW,22,0,427,56,124,.452,38,89,.427,18,35,.514,.605,15,19,.789,16,87,103,24,19,7,14,30,165,15.0,.623,.718,.153,4.3,21.2,13.1,7.8,2.1,1.6,9.6,14.7,0.0,0.7,1.0,1.7,.187,0.0,1.2,1.3,2.5,0.5,2389641.0
Bobby Portis,C,26,MIL,21,17,593,121,256,.473,38,94,.404,83,162,.512,.547,38,47,.809,58,133,191,29,17,21,35,57,318,19.2,.575,.367,.184,10.4,22.8,16.7,7.8,1.4,3.4,11.2,22.5,0.0,1.0,1.0,2.0,.160,0.0,1.2,-0.5,0.7,0.4,4347600.0
Kristaps Porziņģis,PF,26,DAL,17,17,509,119,263,.452,28,94,.298,91,169,.538,.506,65,73,.890,38,98,136,35,15,26,24,41,331,23.3,.561,.357,.278,7.7,21.8,14.4,12.1,1.5,4.5,7.5,27.9,0.0,1.1,0.7,1.8,.173,0.0,3.0,-0.5,2.5,0.6,31650600.0
Dwight Powell,C,30,DAL,24,21,480,55,95,.579,7,19,.368,48,76,.632,.616,28,40,.700,47,62,109,28,12,13,16,59,145,15.0,.644,.200,.421,10.1,14.6,12.2,8.5,1.2,2.4,12.4,11.9,0.0,1.1,0.5,1.6,.162,0.0,-1.0,-0.2,-1.2,0.1,11000000.0
Norman Powell,SF,28,POR,22,22,667,129,278,.464,41,103,.398,88,175,.503,.538,84,102,.824,7,46,53,39,18,8,28,43,383,16.4,.593,.371,.367,1.1,7.7,4.4,9.2,1.3,1.1,8.0,22.9,0.0,1.3,0.1,1.4,.104,0.0,1.4,-2.0,-0.6,0.2,15517242.0
Joshua Primo,SG,19,SAS,7,0,59,6,11,.545,4,8,.500,2,3,.667,.727,0,0,0.0,1,5,6,4,3,4,0,4,16,15.8,.727,.727,.000,1.8,9.0,5.4,8.6,2.4,6.0,0.0,8.0,0.0,0.1,0.1,0.2,.181,0.0,1.5,2.8,4.3,0.1,3946800.0
Taurean Prince,PF,27,MIN,23,7,358,35,98,.357,20,67,.299,15,31,.484,.459,12,17,.706,11,39,50,18,10,5,12,34,102,7.5,.484,.684,.173,3.0,12.0,7.3,7.1,1.4,1.4,10.2,13.6,0.0,0.0,0.3,0.3,.041,0.0,-3.4,-0.6,-4.0,-0.2,15057692.0
Payton Pritchard,SG,24,BOS,20,0,188,18,65,.277,14,45,.311,4,20,.200,.385,5,5,1.000,6,17,23,28,1,2,13,15,55,5.6,.409,.692,.077,3.4,9.8,6.6,21.1,0.3,1.0,16.2,18.7,0.0,-0.2,0.1,-0.1,-0.033,0.0,-3.9,-2.9,-6.8,-0.2,2137440.0
Immanuel Quickley,PG,22,NYK,25,1,530,81,207,.391,42,123,.341,39,84,.464,.493,39,42,.929,11,49,60,60,16,0,25,49,243,13.3,.539,.594,.203,2.2,9.9,6.0,17.5,1.5,0.0,10.0,20.7,0.0,0.7,0.2,0.9,.085,0.0,-0.9,-1.2,-2.1,0.0,2210640.0
