Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Salary
Devonte' Graham,PG,26,NOP,24,24,750,111,298,.372,67,194,.345,44,104,.423,.485,38,48,.792,14,44,58,107,29,4,42,35,327,12.8,.512,.651,.161,2.0,6.6,4.2,22.0,1.9,0.5,11.6,20.6,0.0,0.6,0.2,0.7,.046,0.0,0.0,-2.3,-2.3,0.0,11000000.0
Jerami Grant,PF,27,DET,23,23,769,153,368,.416,41,121,.339,112,247,.453,.471,124,146,.849,22,89,111,60,27,23,48,50,471,17.6,.545,.329,.397,2.9,13.6,7.9,14.4,1.7,2.7,10.0,26.9,0.0,0.8,0.6,1.5,.092,0.0,1.2,-0.4,0.8,0.6,20000000.0
Danny Green,SF,34,PHI,18,15,437,49,108,.454,38,91,.418,11,17,.647,.630,4,4,1.000,12,35,47,22,24,16,20,37,140,12.9,.638,.843,.037,3.0,8.8,5.9,7.2,2.8,3.3,15.4,13.4,0.0,0.4,0.5,0.9,.097,0.0,0.4,0.8,1.2,0.3,10000000.0
Draymond Green,PF,31,GSW,24,24,726,77,140,.550,7,23,.304,70,117,.598,.575,32,55,.582,29,164,193,182,33,24,75,62,193,15.6,.588,.164,.393,4.5,23.5,14.4,33.6,2.2,3.2,31.4,14.2,0.0,0.9,1.8,2.7,.177,0.0,-0.3,4.3,4.0,1.1,24026712.0
Jalen Green,SG,19,HOU,18,18,555,87,228,.382,32,115,.278,55,113,.487,.452,46,57,.807,7,49,56,42,11,4,49,28,252,8.1,.498,.504,.250,1.4,9.3,5.4,12.0,0.9,0.7,16.2,23.0,0.0,-0.7,0.3,-0.4,-0.037,0.0,-3.2,-2.6,-5.8,-0.5,8992200.0
JaMychal Green,PF,31,DEN,23,4,341,49,119,.412,11,54,.204,38,65,.585,.458,17,22,.773,22,58,80,20,20,11,25,52,126,11.6,.490,.454,.185,7.2,18.9,13.1,8.6,2.9,3.0,16.3,20.3,0.0,-0.3,0.6,0.3,.041,0.0,-4.5,0.6,-3.9,-0.2,8292683.0
Javonte Green,SF,28,CHI,23,12,474,48,97,.495,10,26,.385,38,71,.535,.546,18,24,.750,35,63,98,16,19,8,16,45,124,11.6,.576,.268,.247,8.1,14.5,11.3,4.5,2.0,1.5,12.9,11.4,0.0,0.5,0.6,1.2,.117,0.0,-1.7,-0.4,-2.1,0.0,1669178.0
Jeff Green,C,35,DEN,24,15,595,82,171,.480,19,59,.322,63,112,.563,.535,51,63,.810,10,66,76,27,7,12,22,50,234,11.8,.589,.345,.368,1.9,12.4,7.1,6.6,0.6,1.9,10.0,16.7,0.0,0.7,0.4,1.1,.089,0.0,-2.2,-1.0,-3.2,-0.2,4500000.0
Josh Green,SG,21,DAL,13,0,71,10,18,.556,0,2,.000,10,16,.625,.556,0,2,.000,4,8,12,4,3,1,2,10,20,11.0,.530,.111,.111,5.8,12.7,9.1,8.5,2.1,1.2,9.6,13.1,0.0,0.0,0.1,0.1,.083,0.0,-4.1,1.0,-3.0,0.0,2957520.0
Blake Griffin,PF,32,BRK,18,17,382,37,111,.333,9,56,.161,28,55,.509,.374,17,24,.708,21,66,87,34,9,10,9,42,100,9.0,.411,.505,.216,6.1,17.5,12.1,12.2,1.1,2.3,6.9,15.0,0.0,-0.1,0.5,0.4,.053,0.0,-3.9,0.1,-3.8,-0.2,32405817.0
