Player,Salary,salary_per_cap
Jarrett Culver,6395160.0,0.05688935541836426
Khem Birch,6350000.0,0.05648762609639369
Collin Sexton,6349671.0,0.05648469941466366
Onyeka Okongwu,6104280.0,0.054301777358691974
Justin Holiday,6006420.0,0.05343124521856708
Josh Giddey,5988000.0,0.0532673866244418
Rudy Gay,5890000.0,0.05239560908783603
Patty Mills,5890000.0,0.05239560908783603
Dennis Schröder,5890000.0,0.05239560908783603
Kevin Knox,5845978.0,0.052004003060117064
Coby White,5837760.0,0.05193089828669027
Timofey Mozgov,5573334.0,0.04957864678776665
Killian Hayes,5572680.0,0.049572829007063175
Mikal Bridges,5557725.0,0.04943979397583931
Shai Gilgeous-Alexander,5495532.0,0.048886544380593165
Jonathan Kuminga,5466360.0,0.04862703933673742
Miles Bridges,5421493.0,0.04822791645168751
Jaxson Hayes,5348280.0,0.04757663636201897
Pat Connaughton,5333333.0,0.04744367249630829
Michael Porter Jr.,5258735.0,0.046780071877168324
Ryan Anderson,5214584.0,0.04638731830554913
Hamidou Diallo,5200000.0,0.04625758357499955
Kevon Looney,5178572.0,0.04606696674791396
Troy Brown Jr.,5170564.0,0.045995730069208464
Obi Toppin,5105160.0,0.04541391641610475
Franz Wagner,5007840.0,0.04454818794812034
Josh Jackson,5005350.0,0.04452603768213924
JaVale McGee,5000000.0,0.04447844574519188
Robin Lopez,5000000.0,0.04447844574519188
Kendrick Nunn,5000000.0,0.04447844574519188
Lou Williams,5000000.0,0.04447844574519188
Luol Deng,4990000.0,0.044389488853701496
Rui Hachimura,4916160.0,0.0437326311669365
Garrett Temple,4910000.0,0.04367783372177843
Cory Joseph,7310000.0,0.06502748767947053
Taj Gibson,4910000.0,0.04367783372177843
Torrey Craig,4878049.0,0.0433936075577775
Rajon Rondo,2641691.0,0.023499661963812337
Bruce Brown,4736102.0,0.04213089117013895
Deni Avdija,4692840.0,0.041746045866173254
Donte DiVincenzo,4675830.0,0.04159473019374811
Cam Reddish,4670160.0,0.04154429163627306
David Nwaba,4650000.0,0.04136495454302845
Furkan Korkmaz,4629630.0,0.041183749355062534
Davion Mitchell,4603320.0,0.04094970377355134
Bryn Forbes,4500000.0,0.04003060117067269
Jeff Green,4500000.0,0.04003060117067269
Ish Smith,4500000.0,0.04003060117067269
Jalen Smith,4458000.0,0.03965698222641308
Lonnie Walker,4447896.0,0.0395671001832512
Cameron Johnson,4437000.0,0.03947017275428327
Ziaire Williams,4373160.0,0.038902271959008666
Maurice Harkless,4347600.0,0.038674898144359246
Bobby Portis,4347600.0,0.038674898144359246
Jarred Vanderbilt,4259259.0,0.037889044069244045
Kevin Huerter,4253357.0,0.03783654171188642
Devin Vassell,4235160.0,0.03767466685644137
