Player,G,WS,BPM,VORP
Joe Harris,14.0,0.7,-2.2,0.0
Tobias Harris,17.0,1.3,0.0,0.3
Josh Hart,20.0,1.3,-0.2,0.3
Isaiah Hartenstein,25.0,2.1,4.7,0.7
Udonis Haslem,5.0,0.1,-4.9,0.0
Sam Hauser,2.0,0.0,-12.6,0.0
Jaxson Hayes,19.0,0.6,-2.5,0.0
Killian Hayes,19.0,0.1,-4.4,-0.3
Gordon Hayward,27.0,1.7,-1.0,0.2
Aaron Henry,1.0,0.0,-31.9,0.0
Juan Hernangómez,13.0,-0.1,-8.4,-0.1
Willy Hernangómez,13.0,0.9,5.5,0.3
Tyler Herro,23.0,0.9,0.0,0.4
Buddy Hield,25.0,0.8,-0.6,0.2
George Hill,22.0,1.3,-2.3,0.0
Solomon Hill,13.0,0.0,-5.2,-0.1
Aaron Holiday,25.0,0.2,-3.1,-0.1
Jrue Holiday,20.0,1.4,0.7,0.4
Justin Holiday,23.0,0.7,-2.0,0.0
Richaun Holmes,22.0,2.7,2.0,0.6
Rodney Hood,19.0,0.3,-4.2,-0.2
Al Horford,22.0,2.4,4.4,1.0
Talen Horton-Tucker,13.0,0.2,-4.6,-0.3
Danuel House,16.0,-0.1,-6.0,-0.2
Dwight Howard,23.0,1.2,0.6,0.2
Markus Howard,13.0,-0.1,-6.0,-0.1
Kevin Huerter,24.0,0.9,-1.8,0.0
Jay Huff,1.0,0.0,-6.1,0.0
Elijah Hughes,6.0,0.0,-13.0,0.0
De'Andre Hunter,11.0,-0.1,-5.6,-0.3
Chandler Hutchison,3.0,0.0,-14.0,0.0
Bones Hyland,17.0,0.4,-1.5,0.0
Serge Ibaka,11.0,0.2,-3.8,-0.1
Andre Iguodala,12.0,0.9,2.1,0.3
Joe Ingles,25.0,2.0,2.1,0.6
Brandon Ingram,20.0,0.7,-0.3,0.3
Frank Jackson,24.0,0.3,-3.5,-0.2
Isaiah Jackson,6.0,0.0,-11.6,-0.1
Jaren Jackson Jr.,26.0,1.7,-0.5,0.3
Josh Jackson,21.0,0.3,-3.4,-0.1
Reggie Jackson,26.0,0.6,-3.1,-0.3
LeBron James,14.0,1.5,3.8,0.8
DeJon Jarreau,1.0,0.0,-9.9,0.0
Ty Jerome,20.0,0.5,-1.1,0.1
Isaiah Joe,15.0,0.1,-4.2,-0.1
Alize Johnson,15.0,0.2,-4.6,-0.1
Cameron Johnson,24.0,1.2,-0.2,0.3
David Johnson,2.0,0.0,-28.2,0.0
Jalen Johnson,7.0,0.1,4.1,0.0
James Johnson,16.0,0.6,-1.8,0.0
Keldon Johnson,23.0,1.1,-2.7,-0.1
Keon Johnson,3.0,0.0,-13.2,0.0
Nikola Jokić,20.0,4.1,14.1,2.7
Damian Jones,10.0,0.4,0.4,0.1
Derrick Jones Jr.,22.0,1.6,1.0,0.3
Herb Jones,24.0,0.7,-2.6,-0.1
Kai Jones,6.0,-0.1,-20.3,0.0
Tre Jones,22.0,0.3,-4.1,-0.1
Tyus Jones,26.0,1.5,0.7,0.4
DeAndre Jordan,20.0,1.0,-0.9,0.1
Cory Joseph,23.0,0.6,-3.2,-0.1
Georgios Kalaitzakis,9.0,0.0,-8.7,-0.1
Frank Kaminsky,9.0,0.9,3.4,0.2
Luke Kennard,26.0,1.7,-0.2,0.3
Louis King,3.0,0.1,-4.5,0.0
Corey Kispert,23.0,0.3,-2.8,-0.1
Maxi Kleber,15.0,0.8,-0.7,0.1
Nathan Knight,10.0,0.2,1.3,0.0
Kevin Knox,6.0,-0.1,-11.7,-0.1
John Konchar,24.0,1.0,0.5,0.2
Furkan Korkmaz,25.0,0.3,-3.3,-0.2
Vit Krejci,3.0,0.0,-16.3,0.0
Jonathan Kuminga,15.0,0.2,-5.7,-0.1
Kyle Kuzma,26.0,1.1,-0.4,0.3
Jeremy Lamb,20.0,0.8,2.0,0.3
Jock Landale,8.0,0.2,11.3,0.1
Romeo Langford,20.0,0.5,-3.1,-0.1
Zach LaVine,26.0,2.9,3.4,1.2
Jake Layman,8.0,-0.1,-11.1,-0.1
Damion Lee,19.0,0.9,-3.8,-0.2
Saben Lee,9.0,0.0,-1.3,0.0
Alex Len,17.0,0.4,-3.9,-0.1
Caris LeVert,19.0,0.5,-2.4,0.0
Kira Lewis Jr.,24.0,-0.2,-5.1,-0.3
Damian Lillard,20.0,1.4,-0.2,0.3
Nassir Little,22.0,1.1,-1.3,0.1
Kevon Looney,25.0,1.8,-1.6,0.1
Brook Lopez,1.0,0.1,-4.7,0.0
Robin Lopez,9.0,0.3,-2.4,0.0
Didi Louzada,2.0,0.0,-13.3,0.0
Kevin Love,18.0,1.3,3.7,0.5
Kyle Lowry,24.0,1.8,0.2,0.5
Timothé Luwawu-Cabarrot,18.0,0.3,-3.4,-0.1
Trey Lyles,24.0,0.5,-3.2,-0.1
Théo Maledon,12.0,-0.4,-11.8,-0.4
Sandro Mamukelashvili,12.0,0.3,-2.4,0.0
Terance Mann,25.0,1.6,-2.0,0.0
Tre Mann,16.0,-0.1,-6.0,-0.2
Boban Marjanović,13.0,0.2,-1.5,0.0
Lauri Markkanen,17.0,1.4,0.4,0.3
Naji Marshall,18.0,0.0,-5.8,-0.2
Caleb Martin,23.0,1.3,1.1,0.4
Cody Martin,25.0,1.7,1.2,0.6
Kelan Martin,20.0,0.3,-3.3,-0.1
Kenyon Martin Jr.,23.0,1.0,0.2,0.2
Garrison Mathews,11.0,1.0,-0.1,0.1
Wesley Matthews,3.0,0.0,-3.3,0.0
Tyrese Maxey,25.0,2.2,0.0,0.4
Skylar Mays,7.0,0.1,4.6,0.0
Miles McBride,7.0,0.0,-5.0,0.0
CJ McCollum,24.0,1.2,0.2,0.5
T.J. McConnell,24.0,1.6,1.2,0.5
Jaden McDaniels,22.0,0.4,-5.8,-0.5
Jalen McDaniels,22.0,0.8,-1.2,0.1
Doug McDermott,17.0,0.8,-2.5,-0.1
JaVale McGee,24.0,1.7,0.3,0.2
Rodney McGruder,9.0,0.0,-4.6,0.0
JaQuori McLaughlin,2.0,0.0,-8.8,0.0
Jordan McLaughlin,18.0,0.1,-4.9,-0.1
Ben McLemore,11.0,0.2,-1.0,0.0
De'Anthony Melton,23.0,0.8,-0.2,0.3
Sam Merrill,6.0,0.0,-7.2,-0.1
Chimezie Metu,13.0,0.3,-1.5,0.0
Khris Middleton,18.0,1.1,-0.3,0.2
Patty Mills,25.0,1.7,-0.1,0.3
Paul Millsap,20.0,0.4,-3.3,-0.1
Shake Milton,21.0,1.0,-0.5,0.2
Davion Mitchell,25.0,0.3,-4.1,-0.3
Donovan Mitchell,24.0,2.8,3.6,1.1
Evan Mobley,22.0,2.1,1.2,0.6
Malik Monk,26.0,1.0,-1.4,0.1
Moses Moody,16.0,0.1,-6.3,-0.1
Ja Morant,19.0,2.1,3.5,0.9
Marcus Morris,10.0,0.4,-2.2,0.0
Markieff Morris,10.0,0.2,-2.3,0.0
Monte Morris,25.0,1.2,-2.1,0.0
