Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mike Muscala,C,30,OKC,17,0,14.6,2.7,5.9,.455,1.7,3.9,.433,1.0,2.0,.500,.599,1.4,1.8,.800,0.4,2.9,3.3,0.5,0.4,0.6,0.4,1.3,8.5
Svi Mykhailiuk,SF,24,TOR,24,4,18.7,2.6,6.0,.434,1.1,3.4,.333,1.5,2.6,.565,.528,0.8,0.9,.909,0.7,2.0,2.6,1.1,0.8,0.1,0.7,1.3,7.1
Abdel Nader,SF,28,PHO,14,0,10.4,0.9,2.5,.343,0.3,1.0,.286,0.6,1.5,.381,.400,0.4,0.7,.600,0.3,1.6,1.9,0.5,0.6,0.3,0.8,1.4,2.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Nance Jr.,PF,29,POR,25,0,20.3,2.5,4.7,.538,0.5,1.6,.308,2.0,3.1,.654,.590,0.7,1.2,.621,1.4,3.5,4.9,1.4,0.9,0.4,0.8,1.4,6.2
RJ Nembhard,SG,22,CLE,2,0,1.5,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0
Aaron Nesmith,SF,22,BOS,19,0,9.7,1.0,3.0,.333,0.6,2.2,.262,0.4,0.8,.533,.430,0.2,0.2,1.000,0.3,1.3,1.6,0.4,0.3,0.0,0.4,1.3,2.8
Raul Neto,PG,29,WAS,24,0,19.6,3.0,6.5,.458,0.5,1.7,.275,2.5,4.8,.522,.494,1.2,1.6,.718,0.2,1.8,2.0,2.5,0.8,0.0,1.3,1.6,7.5
Georges Niang,PF,28,PHI,24,5,24.6,4.0,9.1,.436,2.1,5.5,.389,1.8,3.6,.506,.553,1.1,1.2,.931,0.3,2.4,2.7,1.7,0.6,0.3,0.8,2.6,11.2
Daishen Nix,G,19,HOU,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Zeke Nnaji,PF,21,DEN,11,0,14.3,2.6,5.1,.518,1.5,2.5,.607,1.1,2.5,.429,.670,0.9,1.5,.625,1.2,2.5,3.6,0.1,0.1,0.4,0.5,1.5,7.7
Nerlens Noel,C,27,NYK,10,3,23.5,1.5,3.0,.500,0.0,0.2,.000,1.5,2.8,.536,.500,1.2,1.3,.923,2.3,3.6,5.9,0.7,1.2,1.3,1.0,2.8,4.2
Jaylen Nowell,SG,22,MIN,11,0,5.8,1.1,3.0,.364,0.1,0.7,.125,1.0,2.3,.440,.379,0.2,0.2,1.000,0.3,0.6,0.9,0.8,0.3,0.3,0.1,0.3,2.5
Frank Ntilikina,PG,23,DAL,16,0,14.1,1.8,4.8,.364,0.9,2.6,.366,0.8,2.3,.361,.461,0.8,0.8,1.000,0.2,1.7,1.9,1.4,0.8,0.2,0.7,1.1,5.2
Jusuf Nurkić,C,27,POR,25,25,24.7,5.1,8.7,.590,0.2,0.8,.250,4.9,7.9,.624,.601,3.0,4.0,.747,2.5,7.7,10.2,2.2,1.1,0.6,1.9,2.9,13.4
David Nwaba,SF,29,HOU,15,0,11.7,1.5,3.5,.442,0.1,0.9,.077,1.5,2.6,.564,.452,0.9,1.5,.636,0.5,2.5,3.1,0.7,0.7,0.3,0.5,1.0,4.1
Jordan Nwora,SF,23,MIL,21,0,17.7,2.6,6.6,.396,1.2,3.4,.361,1.4,3.2,.433,.489,0.5,0.6,.846,0.5,2.7,3.2,1.1,0.2,0.4,1.2,1.0,7.0
Royce O'Neale,SF,28,UTA,21,21,31.4,2.9,6.0,.484,1.6,4.1,.391,1.3,1.9,.692,.619,0.6,0.8,.706,1.0,4.0,5.0,2.2,1.5,0.7,1.2,2.3,8.0
Semi Ojeleye,PF,27,MIL,11,0,19.8,1.1,4.3,.255,0.5,2.5,.214,0.5,1.7,.316,.319,0.3,0.5,.600,1.9,1.7,3.6,0.4,0.4,0.5,0.5,1.5,3.0
Chuma Okeke,PF,23,ORL,19,0,21.3,2.6,6.9,.382,0.7,3.2,.233,1.9,3.7,.507,.435,1.2,1.4,.852,0.6,3.5,4.1,1.2,0.7,0.3,0.8,1.3,7.2
Josh Okogie,SG,23,MIN,16,5,15.5,0.9,2.8,.318,0.2,1.1,.167,0.7,1.6,.423,.352,0.6,1.3,.500,0.9,1.4,2.3,1.0,0.7,0.3,0.5,1.5,2.6
Isaac Okoro,SF,21,CLE,18,14,28.8,2.6,7.3,.359,0.7,3.1,.218,1.9,4.2,.461,.405,1.4,1.9,.743,1.4,2.6,4.1,1.8,0.9,0.3,1.1,2.3,7.3
KZ Okpala,PF,22,MIA,12,0,5.9,0.4,1.6,.263,0.1,0.8,.100,0.3,0.8,.444,.289,0.5,0.7,.750,0.4,0.7,1.1,0.3,0.1,0.1,0.0,0.5,1.4
Kelly Olynyk,C,30,DET,10,1,23.0,4.5,9.8,.459,1.4,4.1,.341,3.1,5.7,.544,.531,2.1,3.5,.600,1.3,4.0,5.3,2.3,1.4,0.7,1.5,2.7,12.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eugene Omoruyi,SF,24,DAL,4,0,4.5,0.5,1.3,.400,0.3,0.5,.500,0.3,0.8,.333,.500,0.5,1.0,.500,0.5,1.3,1.8,0.5,0.0,0.0,0.0,0.5,1.8
Miye Oni,SG,24,UTA,10,0,3.0,0.1,0.5,.200,0.0,0.4,.000,0.1,0.1,1.000,.200,0.0,0.1,.000,0.0,0.4,0.4,0.3,0.0,0.0,0.1,0.4,0.2
Cedi Osman,SF,26,CLE,19,0,22.3,4.0,8.7,.461,2.4,5.9,.407,1.6,2.7,.577,.600,1.1,1.5,.714,0.3,2.5,2.8,1.7,0.9,0.3,0.9,1.6,11.5
Kelly Oubre Jr.,SF,26,CHO,26,7,28.4,6.2,13.2,.466,2.9,7.4,.394,3.2,5.8,.560,.577,1.3,2.0,.642,1.2,2.7,3.9,1.1,1.0,0.3,0.9,2.5,16.5
