Player,Salary,salary_per_cap,G,WS,BPM,VORP,TS%,PER,Year
Isaiah Thomas,7238606.0,0.11478008404027591,67.0,6.1,3.2,2.3,0.579,20.6,2015
Isaiah Thomas,7238606.0,0.11478008404027591,46.0,4.0,2.5,1.4,0.579,19.7,2015
Avery Bradley,7191011.0,0.11402538650598588,77.0,2.5,-2.2,-0.1,0.507,11.5,2015
Pau Gasol,7128000.0,0.11302624276540078,78.0,10.4,3.5,3.7,0.55,22.7,2015
Jose Calderon,7097191.0,0.11253771505589472,42.0,0.9,-3.0,-0.3,0.519,11.3,2015
Marvin Williams,7000000.0,0.11099659081899628,78.0,4.3,0.0,1.0,0.541,11.8,2015
Manu Ginobili,7000000.0,0.11099659081899628,70.0,3.7,1.7,1.5,0.544,16.2,2015
Amir Johnson,7000000.0,0.11099659081899628,75.0,5.1,-0.1,0.9,0.603,15.4,2015
Brandon Bass,6950000.0,0.11020375802743201,82.0,5.3,0.0,1.0,0.557,16.3,2015
Kevin Martin,6792500.0,0.1077063347340046,39.0,1.9,-0.7,0.4,0.549,16.7,2015
Wilson Chandler,6754913.0,0.10711033061127408,78.0,3.6,-0.6,0.9,0.523,13.2,2015
Carl Landry,6750000.0,0.10703242686117498,70.0,2.8,-2.3,-0.1,0.578,14.9,2015
Derrick Williams,6679866.0,0.10592033616110362,74.0,2.1,-2.0,0.0,0.54,12.8,2015
Greivis Vasquez,6400000.0,0.10148259732022516,82.0,2.8,-1.0,0.5,0.514,12.6,2015
Jarrett Jack,6300000.0,0.09989693173709664,80.0,2.6,-1.1,0.5,0.522,14.6,2015
Kyle Korver,6253521.0,0.09915993023071434,75.0,7.5,2.8,3.0,0.699,14.8,2015
Jason Thompson,6037500.0,0.09573455958138428,81.0,2.4,-2.8,-0.4,0.5,10.2,2015
Gerald Henderson,6000000.0,0.09513993498771109,80.0,3.6,-1.4,0.4,0.514,13.2,2015
Jodie Meeks,6000000.0,0.09513993498771109,60.0,3.1,-0.5,0.5,0.548,14.1,2015
