Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Jeff Green,C,35,DEN,23,14,559,78,165,.473,19,58,.328,59,107,.551,.530,51,63,.810,10,62,72,25,7,11,22,45,226,12.0,.586,.352,.382,2.0,12.2,7.1,6.5,0.6,1.8,10.2,17.3,0.0,0.6,0.4,1.0,.087,0.0,-2.1,-1.0,-3.2,-0.2
Josh Green,SG,21,DAL,12,0,61,8,15,.533,0,2,.000,8,13,.615,.533,0,2,.000,4,7,11,4,3,1,2,7,16,11.4,.504,.133,.133,6.7,13.1,9.7,9.8,2.4,1.4,11.2,13.0,0.0,0.0,0.1,0.1,.074,0.0,-3.6,1.1,-2.5,0.0
Blake Griffin,PF,32,BRK,17,17,369,34,107,.318,9,56,.161,25,51,.490,.360,16,23,.696,21,63,84,34,9,10,9,39,93,8.7,.397,.523,.215,6.3,17.2,12.0,12.4,1.2,2.4,7.1,15.1,0.0,-0.1,0.5,0.4,.047,0.0,-4.0,0.0,-4.0,-0.2
Quentin Grimes,SG,21,NYK,12,0,76,7,19,.368,7,17,.412,0,2,.000,.553,0,0,0.0,2,7,9,3,0,0,3,7,21,5.6,.553,.895,.000,2.8,9.8,6.3,5.6,0.0,0.0,13.6,12.7,0.0,0.0,0.0,0.0,.016,0.0,-2.4,-2.2,-4.6,-0.1
Tyrese Haliburton,SG,21,SAC,22,22,735,101,234,.432,36,96,.375,65,138,.471,.509,21,28,.750,23,61,84,120,39,16,42,28,259,14.7,.526,.410,.120,3.3,8.7,6.0,23.6,2.5,1.8,14.6,16.7,0.0,0.7,0.6,1.3,.083,0.0,0.8,0.5,1.3,0.6
R.J. Hampton,SG,20,ORL,25,0,467,67,159,.421,26,64,.406,41,95,.432,.503,32,54,.593,8,68,76,57,13,4,42,36,192,10.6,.525,.403,.340,1.8,15.4,8.6,19.6,1.3,0.8,18.7,20.7,0.0,-0.3,0.3,0.0,.000,0.0,-2.1,-1.2,-3.4,-0.2
Tim Hardaway Jr.,SG,29,DAL,23,19,735,116,302,.384,56,164,.341,60,138,.435,.477,46,63,.730,9,78,87,52,23,2,12,45,334,12.8,.506,.543,.209,1.3,12.1,6.4,11.0,1.6,0.2,3.5,20.7,0.0,0.6,0.5,1.1,.073,0.0,-0.6,-1.4,-2.1,0.0
James Harden,PG,32,BRK,24,24,862,142,348,.408,61,173,.353,81,175,.463,.496,152,172,.884,23,167,190,231,34,17,116,58,497,20.8,.587,.497,.494,2.9,19.5,11.6,40.1,1.9,1.8,21.5,27.6,0.0,1.5,1.3,2.9,.160,0.0,3.3,0.6,3.9,1.3
Maurice Harkless,SF,28,SAC,16,14,327,25,65,.385,9,40,.225,16,25,.640,.454,8,11,.727,3,42,45,9,8,8,7,25,67,6.1,.480,.615,.169,1.0,13.5,7.2,3.7,1.2,2.1,9.1,10.0,0.0,-0.1,0.2,0.1,.019,0.0,-3.8,-0.5,-4.4,-0.2
Montrezl Harrell,C,28,WAS,25,3,665,147,225,.653,2,8,.250,145,217,.668,.658,94,125,.752,64,142,206,56,15,18,34,49,390,26.5,.696,.036,.556,10.9,22.1,16.7,14.3,1.1,2.2,10.8,21.1,0.0,2.9,0.8,3.7,.270,0.0,5.1,0.7,5.8,1.3
Gary Harris,SG,27,ORL,19,9,481,57,139,.410,18,64,.281,39,75,.520,.475,11,15,.733,14,27,41,32,14,2,20,35,143,7.6,.491,.460,.108,3.1,6.0,4.5,10.3,1.4,0.4,12.1,14.8,0.0,-0.1,0.1,0.0,-0.001,0.0,-4.0,-1.4,-5.3,-0.4
Joe Harris,SF,30,BRK,14,14,423,56,124,.452,41,88,.466,15,36,.417,.617,5,6,.833,5,51,56,14,7,2,16,31,158,10.0,.624,.710,.048,1.3,12.1,7.0,4.7,0.8,0.4,11.2,14.9,0.0,0.3,0.4,0.7,.075,0.0,-1.2,-1.0,-2.2,0.0
Tobias Harris,PF,29,PHI,15,15,518,116,247,.470,19,62,.306,97,185,.524,.508,39,48,.813,16,110,126,56,7,9,25,21,290,18.7,.541,.251,.194,3.4,23.1,13.3,18.3,0.7,1.6,8.5,25.6,0.0,0.7,0.4,1.1,.103,0.0,2.0,-2.1,0.0,0.3
Josh Hart,PF,26,NOP,19,18,572,78,160,.488,15,46,.326,63,114,.553,.534,39,46,.848,19,100,119,73,18,7,26,53,210,15.1,.583,.288,.288,3.5,19.6,11.2,19.4,1.6,1.2,12.6,15.4,0.0,1.0,0.3,1.3,.112,0.0,-0.1,0.3,0.2,0.3
Isaiah Hartenstein,C,23,LAC,24,0,374,74,114,.649,2,3,.667,72,111,.649,.658,25,42,.595,43,70,113,36,19,29,22,60,175,23.8,.660,.026,.368,12.4,19.4,16.0,15.7,2.5,6.7,14.2,18.0,0.0,1.1,0.9,2.0,.257,0.0,0.7,3.6,4.3,0.6
Udonis Haslem,C,41,MIA,5,0,23,3,6,.500,0,1,.000,3,5,.600,.500,0,0,0.0,1,5,6,1,0,1,0,5,6,9.3,.500,.167,.000,4.9,24.1,14.7,6.4,0.0,4.8,0.0,11.6,0.0,0.0,0.0,0.1,.110,0.0,-5.0,0.1,-4.9,0.0
Sam Hauser,SF,24,BOS,2,0,5,0,2,.000,0,2,.000,0,0,0.0,.000,0,0,0.0,0,1,1,0,1,0,0,1,0,-6.5,.000,1.000,.000,0.0,21.6,10.7,0.0,9.9,0.0,0.0,17.6,0.0,0.0,0.0,0.0,-0.266,0.0,-21.7,9.0,-12.6,0.0
Jaxson Hayes,C,21,NOP,19,0,232,40,77,.519,4,11,.364,36,66,.545,.545,28,37,.757,24,38,62,5,5,12,12,30,112,18.0,.600,.143,.481,10.8,18.3,14.4,3.5,1.1,4.9,11.4,19.4,0.0,0.5,0.2,0.6,.129,0.0,-1.2,-1.3,-2.5,0.0
Killian Hayes,PG,20,DET,18,18,467,40,119,.336,19,54,.352,21,65,.323,.416,16,17,.941,12,54,66,67,23,8,31,50,115,8.7,.455,.454,.143,2.6,13.6,7.6,21.9,2.4,1.6,19.7,14.5,0.0,-0.3,0.4,0.2,.016,0.0,-5.0,0.9,-4.2,-0.3
Gordon Hayward,SF,31,CHO,26,26,888,156,350,.446,45,119,.378,111,231,.481,.510,87,102,.853,22,105,127,95,22,16,47,48,444,15.5,.562,.340,.291,2.5,13.0,7.6,15.2,1.2,1.7,10.6,21.0,0.0,1.3,0.2,1.5,.082,0.0,0.5,-1.9,-1.4,0.1
Aaron Henry,SF,22,PHI,1,0,2,0,1,.000,0,1,.000,0,0,0.0,.000,0,0,0.0,0,0,0,0,0,0,0,0,0,-20.6,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,0.0,0.0,0.0,0.0,-0.578,0.0,-18.8,-13.1,-31.9,0.0
Juan Hernangómez,PF,26,BOS,13,0,56,4,18,.222,2,12,.167,2,6,.333,.278,4,5,.800,6,10,16,1,4,0,5,4,14,5.3,.347,.667,.278,11.4,19.3,15.3,2.5,3.5,0.0,19.8,19.8,0.0,-0.2,0.1,-0.1,-0.074,0.0,-6.2,-2.2,-8.4,-0.1
Willy Hernangómez,C,27,NOP,12,0,168,42,68,.618,2,2,1.000,40,66,.606,.632,18,25,.720,31,51,82,21,6,3,12,25,104,29.9,.658,.029,.368,19.2,33.9,26.3,23.0,1.8,1.7,13.2,23.1,0.0,0.7,0.2,0.9,.264,0.0,5.9,0.2,6.1,0.3
Tyler Herro,SG,22,MIA,22,7,736,180,403,.447,61,154,.396,119,249,.478,.522,49,57,.860,18,103,121,84,13,1,66,30,470,16.3,.549,.382,.141,2.8,15.5,9.2,20.2,0.9,0.2,13.4,29.8,0.0,0.4,0.6,1.0,.067,0.0,2.2,-1.7,0.5,0.5
Buddy Hield,SG,29,SAC,24,2,688,127,327,.388,87,239,.364,40,88,.455,.521,41,49,.837,18,84,102,54,16,6,39,51,382,14.1,.548,.731,.150,2.7,12.8,7.8,12.2,1.1,0.7,10.1,23.9,0.0,0.6,0.3,0.9,.066,0.0,2.3,-2.2,0.1,0.4
George Hill,SG,35,MIL,22,11,600,61,138,.442,22,67,.328,39,71,.549,.522,26,28,.929,20,60,80,55,18,3,23,40,170,10.8,.565,.486,.203,3.6,10.0,6.9,12.5,1.4,0.5,13.3,12.4,0.0,0.7,0.6,1.3,.106,0.0,-1.9,-0.4,-2.3,0.0
Solomon Hill,PF,30,ATL,13,1,139,3,20,.150,2,13,.154,1,7,.143,.200,0,0,0.0,6,17,23,12,4,2,1,16,8,3.4,.200,.650,.000,4.7,12.8,8.9,10.3,1.4,1.3,4.8,6.6,0.0,-0.1,0.1,0.0,-0.002,0.0,-5.3,0.1,-5.2,-0.1
Aaron Holiday,PG,25,WAS,24,7,419,57,129,.442,13,37,.351,44,92,.478,.492,13,17,.765,4,34,38,48,14,8,26,39,140,9.7,.513,.287,.132,1.1,8.4,4.9,17.0,1.7,1.6,16.0,17.4,0.0,-0.1,0.3,0.2,.027,0.0,-3.3,0.1,-3.1,-0.1
Jrue Holiday,PG,31,MIL,19,18,602,120,268,.448,34,95,.358,86,173,.497,.511,21,32,.656,14,77,91,118,25,10,51,38,295,16.2,.523,.354,.119,2.5,12.8,7.8,30.9,2.0,1.6,15.3,23.7,0.0,0.5,0.8,1.3,.102,0.0,0.3,0.0,0.3,0.4
Justin Holiday,SF,32,IND,23,15,647,82,206,.398,55,154,.357,27,52,.519,.532,8,11,.727,6,59,65,38,12,7,21,48,227,9.1,.538,.748,.053,1.0,9.8,5.5,8.3,0.9,0.9,9.1,15.6,0.0,0.3,0.4,0.7,.052,0.0,-1.2,-0.8,-2.0,0.0
Richaun Holmes,C,28,SAC,21,21,586,128,181,.707,2,4,.500,126,177,.712,.713,46,57,.807,58,144,202,29,6,21,31,66,304,22.8,.738,.022,.315,10.4,25.7,18.1,8.1,0.5,3.0,13.1,17.2,0.0,2.2,0.6,2.7,.222,0.0,2.6,-0.6,2.0,0.6
Rodney Hood,SF,29,MIL,18,0,267,17,59,.288,11,40,.275,6,19,.316,.381,9,9,1.000,5,30,35,14,5,1,2,17,54,5.8,.429,.678,.153,2.0,11.3,6.8,6.8,0.9,0.4,3.1,10.4,0.0,0.0,0.2,0.3,.049,0.0,-3.6,-1.2,-4.8,-0.2
Al Horford,C,35,BOS,21,21,613,97,211,.460,28,92,.304,69,119,.580,.526,41,48,.854,33,139,172,71,17,35,23,48,263,19.6,.567,.436,.227,5.7,24.5,15.0,18.1,1.4,5.4,9.0,18.3,0.0,1.3,1.0,2.3,.183,0.0,2.3,2.2,4.4,1.0
Talen Horton-Tucker,SG,21,LAL,12,9,350,49,129,.380,10,44,.227,39,85,.459,.419,21,23,.913,8,54,62,33,12,8,19,40,129,9.6,.464,.341,.178,2.4,16.1,9.4,13.2,1.6,2.1,12.0,19.2,0.0,-0.2,0.4,0.2,.025,0.0,-4.0,-0.8,-4.9,-0.3
Danuel House,SF,28,HOU,16,1,233,25,74,.338,10,34,.294,15,40,.375,.405,17,19,.895,4,39,43,19,5,5,18,16,77,7.2,.467,.459,.257,1.8,17.5,9.8,12.0,1.0,2.0,17.9,18.2,0.0,-0.3,0.2,-0.1,-0.020,0.0,-4.9,-1.2,-6.0,-0.2
Dwight Howard,C,36,LAL,22,1,326,41,64,.641,5,7,.714,36,57,.632,.680,26,42,.619,33,86,119,10,18,15,21,41,113,17.6,.685,.109,.656,10.8,27.5,19.3,4.2,2.6,4.2,20.3,13.5,0.0,0.6,0.6,1.2,.172,0.0,-0.8,1.3,0.5,0.2
Markus Howard,SG,22,DEN,12,0,65,8,29,.276,5,21,.238,3,8,.375,.362,4,4,1.000,0,2,2,4,4,0,3,2,25,6.1,.406,.724,.138,0.0,3.4,1.7,8.7,3.1,0.0,8.9,23.3,0.0,-0.2,0.1,-0.1,-0.068,0.0,-5.0,-1.0,-6.0,-0.1
Kevin Huerter,SG,23,ATL,24,14,647,102,214,.477,42,107,.393,60,107,.561,.575,11,13,.846,7,74,81,58,8,6,30,44,257,12.0,.585,.500,.061,1.2,12.0,6.7,12.7,0.6,0.8,12.0,16.9,0.0,0.7,0.2,0.9,.066,0.0,-0.6,-1.2,-1.8,0.0
Jay Huff,C,23,LAL,1,0,8,0,1,.000,0,1,.000,0,0,0.0,.000,0,0,0.0,1,1,2,1,0,0,0,0,0,5.4,.000,1.000,.000,13.4,13.0,13.2,14.6,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,.007,0.0,-5.3,-0.8,-6.1,0.0
Elijah Hughes,SF,23,UTA,6,0,17,0,2,.000,0,1,.000,0,1,.000,.000,2,2,1.000,0,1,1,0,0,0,1,2,2,-3.7,.347,.500,1.000,0.0,6.1,3.2,0.0,0.0,0.0,25.8,9.9,0.0,0.0,0.0,0.0,-0.096,0.0,-10.0,-3.0,-13.0,0.0
De'Andre Hunter,SF,24,ATL,11,11,306,50,111,.450,15,38,.395,35,73,.479,.518,4,10,.400,4,26,30,7,7,3,14,32,119,7.6,.516,.342,.090,1.4,8.9,5.3,3.3,1.1,0.9,10.8,18.5,0.0,-0.2,0.1,-0.1,-0.011,0.0,-3.9,-1.6,-5.6,-0.3
Chandler Hutchison,SF,25,PHO,3,0,9,1,1,1.000,0,0,0.0,1,1,1.000,1.000,0,0,0.0,0,4,4,1,0,0,3,1,2,-1.3,1.000,.000,.000,0.0,45.3,23.3,14.5,0.0,0.0,75.0,19.2,0.0,-0.1,0.0,0.0,-0.208,0.0,-12.1,-1.9,-14.0,0.0
Bones Hyland,PG,21,DEN,15,0,237,40,104,.385,25,71,.352,15,33,.455,.505,15,16,.938,4,24,28,26,11,3,13,26,120,14.6,.540,.683,.154,1.9,11.2,6.5,16.7,2.3,1.2,10.5,23.5,0.0,0.2,0.3,0.4,.090,0.0,-0.6,0.5,-0.1,0.1
Serge Ibaka,C,32,LAC,11,3,154,17,47,.362,8,20,.400,9,27,.333,.447,5,8,.625,12,22,34,13,2,3,6,21,47,9.4,.465,.426,.170,8.4,14.8,11.7,12.1,0.6,1.7,10.6,16.0,0.0,0.0,0.2,0.2,.073,0.0,-3.1,-0.7,-3.8,-0.1
Andre Iguodala,SF,38,GSW,12,0,250,18,43,.419,5,23,.217,13,20,.650,.477,4,6,.667,8,34,42,45,9,10,9,12,45,12.4,.493,.535,.140,3.7,14.1,9.1,22.9,1.7,3.9,16.5,9.4,0.0,0.3,0.5,0.8,.163,0.0,-0.6,2.7,2.1,0.3
Joe Ingles,SF,34,UTA,23,5,566,64,141,.454,46,113,.407,18,28,.643,.617,8,9,.889,11,58,69,72,12,3,25,40,182,12.4,.628,.801,.064,2.3,10.6,6.7,17.3,1.0,0.4,14.7,13.1,0.0,1.1,0.4,1.6,.135,0.0,1.2,0.0,1.2,0.5
Brandon Ingram,SF,24,NOP,19,19,659,162,365,.444,34,93,.366,128,272,.471,.490,77,91,.846,17,101,118,89,7,7,58,40,435,17.2,.537,.255,.249,2.7,17.1,9.7,24.6,0.5,1.0,12.5,30.0,0.0,0.6,0.1,0.7,.052,0.0,1.9,-2.1,-0.1,0.3
Frank Jackson,PG,23,DET,23,2,489,75,192,.391,36,121,.298,39,71,.549,.484,30,36,.833,6,24,30,17,12,5,20,33,216,9.4,.520,.630,.188,1.2,5.8,3.3,5.9,1.2,0.9,8.8,20.0,0.0,0.0,0.2,0.1,.014,0.0,-2.9,-1.6,-4.4,-0.3
Isaiah Jackson,PF,20,IND,5,0,30,4,11,.364,0,0,0.0,4,11,.364,.364,1,2,.500,3,6,9,0,1,1,1,9,9,5.2,.379,.000,.182,11.1,21.6,16.4,0.0,1.6,2.9,7.8,18.7,0.0,0.0,0.0,0.0,-0.011,0.0,-9.3,-1.2,-10.4,-0.1
Jaren Jackson Jr.,PF,22,MEM,24,24,647,130,307,.423,54,147,.367,76,160,.475,.511,64,76,.842,27,104,131,24,20,48,34,80,378,17.6,.555,.479,.248,4.4,17.4,10.8,5.6,1.5,6.8,9.1,24.3,0.0,0.9,0.7,1.6,.115,0.0,0.2,-1.0,-0.7,0.2
Josh Jackson,SF,24,DET,20,3,376,53,128,.414,17,59,.288,36,69,.522,.480,23,33,.697,11,58,69,33,9,9,23,37,146,10.9,.512,.461,.258,2.9,18.1,9.9,14.6,1.2,2.2,13.9,18.9,0.0,-0.1,0.3,0.2,.030,0.0,-2.9,-0.8,-3.6,-0.2
Reggie Jackson,SG,31,LAC,25,25,833,164,415,.395,69,210,.329,95,205,.463,.478,34,43,.791,16,73,89,99,16,3,48,47,431,12.2,.497,.506,.104,2.1,9.1,5.7,19.4,0.9,0.3,10.0,25.2,0.0,0.0,0.8,0.8,.044,0.0,-1.0,-1.6,-2.6,-0.1
LeBron James,SF,37,LAL,13,13,479,128,261,.490,36,106,.340,92,155,.594,.559,45,60,.750,10,62,72,86,22,8,47,29,337,22.1,.586,.406,.230,2.2,13.5,7.9,30.6,2.2,1.5,14.1,29.7,0.0,0.9,0.5,1.4,.140,0.0,3.9,-0.7,3.2,0.6
DeJon Jarreau,SG,24,IND,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,-7.6,-2.3,-9.9,0.0
Ty Jerome,SG,24,OKC,20,1,276,46,116,.397,20,66,.303,26,50,.520,.483,24,29,.828,6,17,23,23,14,2,10,25,136,14.3,.528,.569,.250,2.2,6.4,4.2,14.1,2.5,0.7,7.2,21.7,0.0,0.3,0.2,0.5,.083,0.0,-1.2,0.1,-1.1,0.1
Isaiah Joe,SG,22,PHI,14,0,136,18,49,.367,13,38,.342,5,11,.455,.500,4,4,1.000,2,15,17,9,2,0,6,11,53,9.0,.522,.776,.082,1.6,12.0,6.8,9.7,0.7,0.0,10.6,18.9,0.0,0.0,0.1,0.1,.021,0.0,-1.7,-2.6,-4.3,-0.1
Alize Johnson,PF,25,CHI,14,0,104,12,21,.571,0,1,.000,12,20,.600,.571,3,5,.600,14,18,32,8,3,0,7,12,27,12.8,.582,.048,.238,14.8,18.7,16.8,10.4,1.4,0.0,23.2,12.8,0.0,0.1,0.1,0.3,.122,0.0,-1.4,-2.0,-3.4,0.0
Cameron Johnson,PF,25,PHO,24,0,559,80,191,.419,47,118,.398,33,73,.452,.542,21,29,.724,8,72,80,32,18,7,17,35,228,12.2,.559,.618,.152,1.5,13.1,7.5,7.8,1.5,1.1,7.7,17.1,0.0,0.4,0.8,1.2,.103,0.0,-0.2,0.1,-0.2,0.3
David Johnson,SG,20,TOR,2,0,2,0,1,.000,0,1,.000,0,0,0.0,.000,0,0,0.0,0,0,0,0,0,0,0,0,0,-20.5,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.0,0.0,0.0,0.0,-0.513,0.0,-18.9,-9.2,-28.2,0.0
Jalen Johnson,PF,20,ATL,7,0,19,5,10,.500,2,4,.500,3,6,.500,.600,2,2,1.000,0,5,5,0,0,0,0,0,14,23.7,.643,.400,.200,0.0,27.6,14.1,0.0,0.0,0.0,0.0,25.0,0.0,0.1,0.0,0.1,.194,0.0,6.1,-2.0,4.1,0.0
James Johnson,PF,34,BRK,15,0,264,32,63,.508,5,14,.357,27,49,.551,.548,6,14,.429,14,40,54,23,6,7,9,38,75,11.0,.542,.222,.222,5.9,15.3,10.8,12.2,1.1,2.4,11.5,13.1,0.0,0.3,0.3,0.6,.106,0.0,-2.4,0.8,-1.6,0.0
Keldon Johnson,SF,22,SAS,23,23,716,128,275,.465,26,64,.406,102,211,.483,.513,49,77,.636,26,121,147,44,22,4,32,39,331,13.6,.536,.233,.280,3.8,18.0,10.8,8.7,1.5,0.5,9.4,20.4,0.0,0.4,0.7,1.1,.072,0.0,-1.3,-1.3,-2.7,-0.1
Keon Johnson,SG,19,LAC,3,0,16,0,4,.000,0,1,.000,0,3,.000,.000,4,4,1.000,1,2,3,2,1,0,1,3,4,6.0,.347,.250,1.000,6.8,13.0,9.9,15.4,3.0,0.0,14.8,18.4,0.0,0.0,0.0,0.0,.008,0.0,-11.3,-1.9,-13.2,0.0
Nikola Jokić,C,26,DEN,18,18,586,180,312,.577,30,80,.375,150,232,.647,.625,70,93,.753,46,197,243,123,21,13,58,46,460,33.5,.652,.256,.298,8.7,37.1,22.9,40.4,1.8,2.1,14.1,31.5,0.0,2.7,1.0,3.7,.305,0.0,9.5,4.6,14.1,2.4
Damian Jones,C,26,SAC,10,0,84,12,17,.706,1,2,.500,11,15,.733,.735,7,11,.636,11,14,25,5,0,3,2,12,32,19.2,.733,.118,.647,13.8,17.5,15.6,8.7,0.0,3.0,8.4,12.1,0.0,0.3,0.0,0.4,.220,0.0,1.2,-0.8,0.4,0.1
Derrick Jones Jr.,PF,24,CHI,21,1,378,54,92,.587,7,23,.304,47,69,.681,.625,28,34,.824,29,46,75,12,11,21,11,50,143,17.0,.668,.250,.370,8.4,13.2,10.8,4.5,1.4,4.9,9.3,13.7,0.0,1.0,0.6,1.6,.197,0.0,0.0,1.2,1.2,0.3
Herb Jones,C,23,NOP,23,14,607,61,134,.455,7,21,.333,54,113,.478,.481,19,24,.792,29,44,73,38,34,18,26,72,148,9.8,.512,.157,.179,5.0,8.1,6.5,9.0,2.8,2.8,15.2,12.0,0.0,0.1,0.4,0.6,.044,0.0,-4.0,0.8,-3.3,-0.2
Kai Jones,C,21,CHO,6,0,8,1,1,1.000,0,0,0.0,1,1,1.000,1.000,0,0,0.0,0,1,1,0,0,0,3,0,2,-7.8,1.000,.000,.000,0.0,13.7,6.6,0.0,0.0,0.0,75.0,21.1,0.0,-0.1,0.0,-0.1,-0.420,0.0,-16.0,-4.2,-20.3,0.0
Tre Jones,PG,22,SAS,21,0,213,34,71,.479,0,5,.000,34,66,.515,.479,11,11,1.000,3,21,24,31,9,0,13,16,79,11.9,.521,.070,.155,1.5,10.5,5.9,20.0,2.0,0.0,14.6,17.9,0.0,0.1,0.2,0.2,.056,0.0,-4.0,-0.4,-4.3,-0.1
Tyus Jones,PG,25,MEM,24,5,443,63,134,.470,22,51,.431,41,83,.494,.552,19,21,.905,4,54,58,95,19,2,17,11,167,17.7,.583,.381,.157,1.0,13.2,7.0,29.5,2.1,0.4,10.6,15.2,0.0,1.2,0.2,1.4,.156,0.0,1.8,-0.4,1.4,0.4
DeAndre Jordan,C,33,LAL,20,16,276,45,64,.703,0,0,0.0,45,64,.703,.703,6,10,.600,34,86,120,8,7,17,16,35,96,18.8,.702,.000,.156,13.2,32.5,23.0,4.2,1.2,5.6,19.0,13.0,0.0,0.5,0.5,1.0,.180,0.0,-0.9,0.0,-0.9,0.1
Cory Joseph,PG,30,DET,22,4,473,49,115,.426,12,39,.308,37,76,.487,.478,34,41,.829,7,33,40,76,18,5,30,34,144,11.4,.541,.339,.357,1.5,8.2,4.6,25.2,1.9,1.0,18.4,14.8,0.0,0.3,0.3,0.6,.060,0.0,-3.0,-0.1,-3.1,-0.1
Georgios Kalaitzakis,SF,23,MIL,9,0,48,5,11,.455,2,4,.500,3,7,.429,.545,4,9,.444,4,4,8,0,1,1,4,8,16,6.2,.535,.364,.818,8.9,8.4,8.6,0.0,1.0,2.0,21.1,16.9,0.0,0.0,0.0,0.0,.009,0.0,-5.3,-3.4,-8.7,-0.1
Frank Kaminsky,C,28,PHO,9,0,181,36,66,.545,5,15,.333,31,51,.608,.583,18,20,.900,11,30,41,13,8,7,5,14,95,22.1,.635,.227,.303,6.6,16.9,11.9,10.6,2.1,3.4,6.3,19.1,0.0,0.6,0.3,0.9,.241,0.0,2.4,1.0,3.4,0.2
Luke Kennard,SG,25,LAC,25,1,699,94,218,.431,63,147,.429,31,71,.437,.576,15,16,.938,6,79,85,45,20,2,20,37,266,11.9,.591,.674,.073,0.9,11.7,6.4,9.5,1.4,0.2,8.2,15.2,0.0,0.8,0.8,1.6,.113,0.0,-0.4,0.1,-0.3,0.3
Louis King,SF,22,SAC,3,0,49,7,21,.333,4,14,.286,3,7,.429,.429,6,7,.857,0,7,7,1,2,0,0,7,24,11.1,.498,.667,.333,0.0,15.0,7.5,3.0,2.0,0.0,0.0,20.9,0.0,0.0,0.0,0.1,.078,0.0,-2.9,-1.6,-4.5,0.0
Corey Kispert,SF,22,WAS,23,0,279,32,78,.410,11,46,.239,21,32,.656,.481,11,14,.786,10,31,41,12,5,3,8,10,86,9.6,.511,.590,.179,4.0,11.5,7.9,6.2,0.9,0.9,8.7,14.8,0.0,0.1,0.2,0.3,.047,0.0,-1.5,-1.3,-2.8,-0.1
Maxi Kleber,PF,30,DAL,14,3,318,36,83,.434,23,61,.377,13,22,.591,.572,12,18,.667,17,57,74,11,7,12,7,32,107,13.6,.588,.735,.217,5.5,20.4,12.5,5.0,1.1,3.3,7.1,13.7,0.0,0.5,0.4,0.8,.126,0.0,0.0,-0.2,-0.2,0.1
Nathan Knight,PF,24,MIN,9,0,34,5,7,.714,0,0,0.0,5,7,.714,.714,7,10,.700,4,6,10,3,1,2,3,5,17,23.1,.746,.000,1.429,11.7,19.2,15.3,13.3,1.4,5.6,20.8,17.6,0.0,0.1,0.0,0.2,.245,0.0,0.9,2.9,3.8,0.1
Kevin Knox,SF,22,NYK,5,0,18,2,5,.400,1,3,.333,1,2,.500,.500,1,2,.500,2,0,2,1,0,0,2,2,6,5.2,.510,.600,.400,11.8,0.0,5.9,8.1,0.0,0.0,25.4,19.2,0.0,0.0,0.0,0.0,-0.060,0.0,-3.3,-4.6,-7.9,0.0
John Konchar,SG,25,MEM,22,0,339,36,66,.545,10,25,.400,26,41,.634,.621,3,8,.375,21,61,82,29,16,5,13,26,85,13.5,.611,.379,.121,6.5,19.4,12.9,11.2,2.3,1.3,15.8,10.2,0.0,0.5,0.3,0.8,.110,0.0,-0.8,0.5,-0.3,0.1
Furkan Korkmaz,SG,24,PHI,23,5,531,76,200,.380,37,117,.316,39,83,.470,.473,21,26,.808,7,59,66,59,17,3,23,20,210,12.0,.497,.585,.130,1.4,12.1,6.8,16.6,1.6,0.5,9.8,20.0,0.0,0.1,0.3,0.4,.039,0.0,-0.6,-2.2,-2.8,-0.1
Vit Krejci,SG,21,OKC,3,0,9,0,2,.000,0,2,.000,0,0,0.0,.000,2,2,1.000,0,3,3,0,0,0,1,0,2,-0.9,.347,1.000,1.000,0.0,34.7,17.0,0.0,0.0,0.0,25.8,18.6,0.0,0.0,0.0,0.0,-0.175,0.0,-12.0,-4.3,-16.3,0.0
Jonathan Kuminga,SF,19,GSW,15,0,113,20,46,.435,2,15,.133,18,31,.581,.457,9,15,.600,8,18,26,5,5,2,8,17,51,10.6,.485,.326,.326,8.1,16.5,12.5,6.5,2.1,1.7,13.2,23.0,0.0,-0.1,0.2,0.2,.066,0.0,-5.3,-0.4,-5.7,-0.1
Kyle Kuzma,PF,26,WAS,25,25,814,120,283,.424,50,142,.352,70,141,.496,.512,32,49,.653,21,189,210,71,15,18,50,53,322,12.5,.529,.502,.173,2.9,24.0,13.9,13.2,0.9,1.8,14.1,19.5,0.0,0.0,1.0,0.9,.056,0.0,-0.7,0.1,-0.6,0.3
Jeremy Lamb,SF,29,IND,19,0,264,43,109,.394,23,58,.397,20,51,.392,.500,30,30,1.000,7,42,49,21,9,7,11,20,139,17.5,.569,.532,.275,2.9,17.2,10.1,11.8,1.7,2.3,8.3,22.0,0.0,0.5,0.3,0.8,.151,0.0,2.6,0.1,2.8,0.3
