Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Khem Birch,C,29,TOR,15,3,344,40,80,.500,0,6,.000,40,74,.541,.500,24,33,.727,48,37,85,20,15,7,9,27,104,17.1,.550,.075,.413,14.4,12.4,13.5,8.2,2.2,2.0,8.7,12.9,0.0,0.8,0.3,1.1,.154,0.0,0.0,-0.2,-0.2,0.2
Goga Bitadze,C,22,IND,16,0,138,14,49,.286,4,25,.160,10,24,.417,.327,11,17,.647,16,21,37,3,9,10,5,26,43,10.7,.381,.510,.347,12.8,16.4,14.7,2.9,3.2,6.2,8.1,19.4,0.0,-0.2,0.3,0.1,.039,0.0,-5.4,0.4,-5.0,-0.1
Nemanja Bjelica,C,33,GSW,24,0,340,57,121,.471,22,57,.386,35,64,.547,.562,20,28,.714,21,72,93,36,18,8,29,31,156,16.6,.585,.471,.231,7.0,22.0,14.9,15.3,2.5,2.3,17.9,20.5,0.0,0.3,0.8,1.1,.162,0.0,-0.1,1.2,1.2,0.3
Eric Bledsoe,PG,32,LAC,25,22,666,84,204,.412,19,72,.264,65,132,.492,.458,41,49,.837,18,81,99,86,32,11,51,40,228,11.6,.505,.353,.240,2.9,12.6,7.9,18.9,2.3,1.4,18.4,18.1,0.0,-0.1,1.0,0.9,.065,0.0,-2.8,1.2,-1.6,0.1
Keljin Blevins,SF,26,POR,3,0,14,2,4,.500,2,3,.667,0,1,.000,.750,0,0,0.0,0,1,1,1,0,0,2,0,6,8.5,.750,.750,.000,0.0,8.0,3.9,10.3,0.0,0.0,33.3,18.6,0.0,0.0,0.0,0.0,-0.046,0.0,1.4,-4.2,-2.8,0.0
Bogdan Bogdanović,SG,29,ATL,20,20,564,89,199,.447,43,110,.391,46,89,.517,.555,11,14,.786,7,64,71,49,13,4,18,38,232,12.9,.565,.553,.070,1.4,11.9,6.7,12.3,1.1,0.6,8.1,17.3,0.0,0.8,0.2,1.0,.084,0.0,-0.2,-1.0,-1.2,0.1
Bojan Bogdanović,PF,32,UTA,23,23,695,129,280,.461,58,142,.408,71,138,.514,.564,71,77,.922,18,74,92,44,11,1,35,32,387,16.8,.616,.507,.275,3.0,11.0,7.2,9.5,0.8,0.1,10.0,21.8,0.0,1.8,0.5,2.2,.154,0.0,2.3,-1.4,0.9,0.5
Bol Bol,PF,22,DEN,10,0,47,7,15,.467,0,3,.000,7,12,.583,.467,1,3,.333,2,12,14,2,1,2,0,3,15,13.4,.460,.200,.200,4.7,28.2,16.4,6.3,1.1,4.0,0.0,15.6,0.0,0.0,0.1,0.1,.085,0.0,-1.2,0.4,-0.8,0.0
Leandro Bolmaro,SF,21,MIN,13,1,120,8,24,.333,1,7,.143,7,17,.412,.354,6,7,.857,11,16,27,6,2,0,8,15,23,4.7,.425,.292,.292,9.1,14.5,11.7,6.7,0.8,0.0,22.8,12.2,0.0,-0.1,0.1,0.0,-0.002,0.0,-6.2,-1.7,-7.9,-0.2
Isaac Bonga,SF,22,TOR,8,0,35,1,6,.167,0,2,.000,1,4,.250,.167,2,4,.500,2,2,4,2,4,1,1,5,4,6.3,.258,.333,.667,5.9,6.6,6.2,7.2,5.7,2.8,11.4,10.7,0.0,-0.1,0.1,0.0,.000,0.0,-6.9,3.7,-3.2,0.0
